"contacts","social","laws","citizenship","workpermit","employment","attitude","reputation","destination","candidate","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Other Syrians","Free healthcare","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,2,154,"Male","18 - 29","No","Less than high school degree","0",2,1,3,"Citizenship and rights","Germany","0","18.607"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,155,"Male","18 - 29","No","Less than high school degree","1",2,1,3,"Employment / career opportunities","USA","0","27.987"
"No contacts","Free housing","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,160,"Female","18 - 29","Yes","Some college but no degree","0",8,3,5,"Asylum policies (e.g. family reunification, resettlement)","UK","0","16.733"
"Friends","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",0,2,166,"Male","30-39","Yes","Master's degree or higher","1",6,1,2,"Asylum policies (e.g. family reunification, resettlement)","Other / Prefer not to answer","0","78.685"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,2,167,"Male","30-39","No","Bachelor's degree (4-year)","0",8,3,6,"Asylum policies (e.g. family reunification, resettlement)","USA","0","33.321"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,2,169,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,3,"Citizenship and rights","Canada","0","7.939"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,2,171,"Male","40-49","Yes","Less than high school degree","0",7,1,2,"Employment / career opportunities","USA","0","130.481"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,176,"Male","40-49","Yes","Less than high school degree","0",4,3,4,"Asylum policies (e.g. family reunification, resettlement)","USA","0","118.051"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,2,178,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",7,1,NA,"Friends / family / relatives in the country","Canada","0","21.429"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,2,180,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,6,"Language and culture","Canada","0","26.347"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,2,183,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",5,1,5,"Employment / career opportunities","Canada","0","78.544"
"Family","Free housing","No religious bans","After 5 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,2,184,"Male","40-49","Yes","Less than high school degree","0",6,4,4,"Asylum policies (e.g. family reunification, resettlement)","UK","0","53.961"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,185,"Male","30-39","Yes","Less than high school degree","0",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","USA","0","18.107"
"No contacts","Generous support for refugees","No religious bans","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,186,"Male","30-39","Yes","Less than high school degree","0",7,4,3,"Language and culture","USA","0","102.358"
"Other Syrians","Generous support for refugees","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,2,188,"Female","30-39","Yes","Diploma or technical certificate (2-year)","0",2,4,NA,"Social benefits and healthcare","UK","0","26.299"
"Friends","Free housing","Ban on nikab and burka in public","After 5 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,192,"Female","30-39","Yes","Diploma or technical certificate (2-year)","1",4,1,5,"Employment / career opportunities","Canada","0","31.955"
"Friends","No minimum wage","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,2,194,"Male","40-49","Yes","Bachelor's degree (4-year)","0",4,1,NA,"Education opportunities","Canada","0","21.941"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,2,199,"Male","30-39","Yes","Less than high school degree","1",2,1,NA,"Citizenship and rights","USA","0","9.162"
"Friends","Free housing","No religious bans","After 8 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,201,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)",NA,7,1,6,"Education opportunities","Canada","0","70.486"
"Friends","No minimum wage","No religious bans","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,204,"Female","40-49","Yes","Bachelor's degree (4-year)","1",8,4,5,"Citizenship and rights","Canada","0","23.547"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,206,"Female","18 - 29","Yes","Some college but no degree","0",7,1,5,"Employment / career opportunities","UK","0","121.151"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,2,211,"Female","18 - 29","No","Bachelor's degree (4-year)","1",8,1,5,"Social benefits and healthcare","France","0","168.771"
"Friends","No minimum wage","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,212,"Male",NA,NA,"Some college but no degree",NA,NA,1,NA,"Good reputation","Canada","0","73.765"
"No contacts","No minimum wage","Ban on hijab in schools","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,214,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,3,5,"Asylum policies (e.g. family reunification, resettlement)","UK","0","54.227"
"Friends","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,220,"Male",NA,NA,NA,NA,7,3,4,"Social benefits and healthcare","UK","0","72.849"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,225,"Male","30-39","Yes","Less than high school degree","0",4,4,5,"Citizenship and rights","Other / Prefer not to answer","0","40.079"
"No contacts","Free healthcare","No religious bans","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,2,232,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",NA,NA,NA,"Education opportunities","Canada","0","95.356"
"Family","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,2,233,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",2,1,4,"Good reputation","Other / Prefer not to answer","0","112.947"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,2,236,"Female","18 - 29","No","Some college but no degree","0",4,1,3,"Education opportunities","Canada","0","53.874"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,2,237,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",4,3,6,"Employment / career opportunities","UK","0","36.489"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,238,"Female","30-39","Yes","Less than high school degree","0",7,3,5,"Social benefits and healthcare","Germany","0","22.021"
"Family","Free healthcare","No religious bans","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,2,239,"Male","18 - 29","Yes","Some college but no degree","0",5,1,2,"Employment / career opportunities","UK","0","21.1"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,2,240,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,5,"Social benefits and healthcare","Canada","0","19.27"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,2,241,"Male","18 - 29","No","Some college but no degree","1",6,3,4,"Education opportunities","USA","0","162.707"
"Family","Free housing","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,242,"Male","40-49","Yes","Diploma or technical certificate (2-year)","1",4,1,NA,"Citizenship and rights","UK","0","55.174"
"Friends","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,243,"Male","18 - 29","No","Less than high school degree",NA,2,1,2,"Education opportunities","Canada","0","109.097"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,244,"Male","40-49","Yes","Less than high school degree","0",5,4,6,"Social benefits and healthcare","Canada","0","39.511"
"Family","Generous support for refugees","No religious bans","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,2,245,"Male","18 - 29","No","Some college but no degree","0",7,4,6,"Employment / career opportunities","Canada","0","22.061"
"Friends","Free healthcare","Ban on hijab in schools","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,2,248,"Male","30-39","Yes","Less than high school degree","0",2,1,4,"Citizenship and rights","UK","0","58.365"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,2,252,"Male","18 - 29","Yes","Less than high school degree","0",8,3,2,"Citizenship and rights","Canada","0","41.127"
"Friends","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",0,2,256,"Male","18 - 29","No","Some college but no degree","1",6,1,4,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","69.162"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,257,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,4,5,"Employment / career opportunities","UK","0","25.424"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,2,259,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Citizenship and rights","Germany","0","11.991"
"Friends","No minimum wage","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,262,"Female","18 - 29","No","Some college but no degree","0",4,1,NA,"Citizenship and rights","UK","0","10.233"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,2,263,"Male","18 - 29","No","Less than high school degree","0",7,1,4,"Employment / career opportunities","Canada","0","22.742"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,266,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",4,1,3,"Citizenship and rights","Canada","0","236.412"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,2,267,"Male","30-39","Yes","Bachelor's degree (4-year)","0",5,1,NA,"Social benefits and healthcare","Germany","0","181.24"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,2,273,"Male","40-49","Yes","Less than high school degree","0",7,1,NA,"Education opportunities","Canada","0","14.498"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,275,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,4,5,"Employment / career opportunities","Canada","0","41.217"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,276,"Female","30-39","Prefer not to answer","Bachelor's degree (4-year)","0",2,1,5,"Employment / career opportunities","Germany","0","26.035"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,277,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,5,"Citizenship and rights","Germany","0","17.091"
"No contacts","No minimum wage","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,2,278,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,4,"Citizenship and rights","Other / Prefer not to answer","0","39.928"
"Family","Free housing","Ban on hijab in schools","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,2,280,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,3,"Language and culture","Canada","0","10.027"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,281,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","UK","0","336.379"
"Friends","Free healthcare","No religious bans","After 8 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,2,282,"Male","30-39","Yes","Less than high school degree","1",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","0","149.811"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,2,284,"Female","18 - 29","No","Some college but no degree","1",4,1,3,"Employment / career opportunities","UK","0","144.825"
"No contacts","No minimum wage","No religious bans","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,285,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",4,3,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","94.957"
"No contacts","Generous support for refugees","No religious bans","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,2,286,"Male",NA,NA,"Diploma or technical certificate (2-year)",NA,8,4,4,"Friends / family / relatives in the country","USA","0","230.344"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,2,287,"Male","18 - 29","Yes","Less than high school degree","0",2,1,2,"Citizenship and rights","UK","0","135.325"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",1,2,288,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Education opportunities","Germany","0","69.963"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,2,291,"Female","40-49","No","Master's degree or higher","0",7,6,3,"Citizenship and rights","France","0","36.578"
"Other Syrians","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",1,2,293,"Male","18 - 29","No","Less than high school degree","0",6,1,4,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","24.863"
"No contacts","Free healthcare","No religious bans","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,2,294,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,3,5,"Employment / career opportunities","Canada","0","22.893"
"Family","Free housing","Ban on nikab and burka in public","After 5 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,2,297,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Citizenship and rights","UK","0","19.182"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,298,"Male","18 - 29","No","Bachelor's degree (4-year)","1",8,2,6,"Employment / career opportunities","Canada","0","20.565"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,2,300,"Male","18 - 29","Yes","Less than high school degree","0",2,1,4,"Social benefits and healthcare","Canada","0","12.533"
"Other Syrians","Generous support for refugees","No religious bans","After 5 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,2,301,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",5,1,2,"Citizenship and rights","Canada","0","143.507"
"Family","Free housing","No religious bans","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,303,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","1",6,2,3,"Friends / family / relatives in the country","Canada","0","95.61"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,2,304,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,1,2,"Employment / career opportunities","UK","0","52.526"
"Friends","Free healthcare","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,2,307,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",5,4,5,"Language and culture","Canada","0","16.944"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,308,"Female","30-39","Yes","Some college but no degree","0",4,1,2,"Citizenship and rights","Canada","0","39.297"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,310,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","UK","1","9.516"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,2,311,"Female","18 - 29","No","Bachelor's degree (4-year)","0",7,3,4,"Education opportunities","UK","1","76.683"
"Friends","Free healthcare","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,312,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,6,"Citizenship and rights","Canada","1","50.6"
"Family","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,313,"Male","50-59","No","Diploma or technical certificate (2-year)","0",7,1,5,"Citizenship and rights","Canada","1","23.269"
"No contacts","Free housing","Ban on hijab in schools","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,2,316,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,4,"Social benefits and healthcare","Germany","1","161.672"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,317,"Female","30-39","No","Master's degree or higher","1",5,4,6,"Citizenship and rights","Canada","1","65.887"
"Friends","Free healthcare","No religious bans","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,2,318,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,5,"Employment / career opportunities","Canada","1","50.22"
"No contacts","No minimum wage","Ban on hijab in schools","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,319,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,6,"Education opportunities","UK","1","33.067"
"No contacts","Free housing","Ban on hijab in schools","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,320,"Male","18 - 29","No","Less than high school degree","0",4,1,5,"Citizenship and rights","Canada","1","25.9"
"Family","No minimum wage","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,2,321,"Female","30-39","No","Master's degree or higher","1",5,4,3,"Citizenship and rights","Other / Prefer not to answer","1","103.845"
"Friends","Free healthcare","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,2,322,"Male","18 - 29","No","Some college but no degree","0",5,1,6,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","56.145"
"Family","Generous support for refugees","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,2,326,"Male",NA,"No","Bachelor's degree (4-year)","0",8,1,2,"Citizenship and rights","Canada","1","105.312"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,2,328,"Male","30-39","Yes","Bachelor's degree (4-year)","0",NA,1,3,"Education opportunities","UK","1","78.755"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,2,331,"Female","30-39","No","Some college but no degree","0",7,1,3,"Language and culture","Canada","1","94.173"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,333,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,6,5,"Asylum policies (e.g. family reunification, resettlement)","Other / Prefer not to answer","1","32.763"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,334,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",8,2,3,"Friends / family / relatives in the country","USA","1","40.526"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,2,335,"Female","18 - 29","No","Some college but no degree","1",4,3,3,"Education opportunities","Canada","1","24.772"
"Friends","Generous support for refugees","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,2,336,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,4,"Employment / career opportunities","UK","1","1157.985"
"Other Syrians","Free housing","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,2,337,"Male","18 - 29","No","Some college but no degree","0",2,1,4,"Citizenship and rights","Canada","1","53.765"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,2,341,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",6,3,3,"Education opportunities","UK","1","62.537"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,2,342,"Male","18 - 29","Yes","Less than high school degree","0",2,1,3,"Citizenship and rights","UK","1","30.603"
"Family","Free housing","No religious bans","After 8 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,2,348,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,3,5,"Language and culture","Canada","1","26.004"
"No contacts","Generous support for refugees","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,2,350,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",7,4,3,"Education opportunities","Canada","1","9.14"
"Friends","Generous support for refugees","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",0,2,352,"Male","18 - 29","Yes","Some college but no degree","0",6,1,4,"Education opportunities","Canada","1","15.265"
"No contacts","Free housing","Ban on nikab and burka in public","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,357,"Female","18 - 29","No","Bachelor's degree (4-year)","1",6,3,3,"Education opportunities","Canada","1","36.002"
"No contacts","Free healthcare","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,360,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,2,"Citizenship and rights","Canada","1","16.616"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,2,361,"Female","30-39","No","Master's degree or higher","1",5,1,NA,"Employment / career opportunities","Canada","1","102.005"
