"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Other Syrians","Free housing","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,2,0,427,"Male","18 - 29","No","Bachelor's degree (4-year)","0",5,1,4,"Education opportunities","Germany","1","16.522"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,1,428,"Female","18 - 29","No","Some college but no degree","0",7,4,6,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","26.135"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",0,2,1,431,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","UK","1","102.655"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,1,434,"Male","18 - 29","No","Bachelor's degree (4-year)","0",5,3,6,"Education opportunities","Canada","1","41.497"
"Friends","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,0,436,"Female","30-39","No","Bachelor's degree (4-year)","0",8,3,4,"Friends / family / relatives in the country","Canada","1","216.229"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",1,2,0,438,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,3,"Citizenship and rights","Canada","1","20.067"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,2,1,440,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,NA,"Education opportunities","Canada","1","16.461"
"Other Syrians","Generous support for refugees","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,1,443,"Male","18 - 29","Yes","Some college but no degree","0",6,1,NA,"Citizenship and rights","Canada","1","30.409"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,2,0,445,"Male","18 - 29","No","Some college but no degree","0",7,3,6,"Education opportunities","Canada","1","18.846"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,0,446,"Female","30-39","No","Master's degree or higher","0",8,4,3,"Asylum policies (e.g. family reunification, resettlement)","USA","1","118.906"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,2,0,450,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,2,6,"Education opportunities","UK","1","46.938"
"Family","Free healthcare","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,0,451,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,4,"Language and culture","USA","1","95.409"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,2,0,453,"Male","18 - 29","Yes","Bachelor's degree (4-year)","0",7,1,4,"Citizenship and rights","UK","1","5.812"
"Other Syrians","Generous support for refugees","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,1,454,"Female","18 - 29","No","Bachelor's degree (4-year)","0",4,1,2,"Citizenship and rights","Canada","1","6.76"
"Family","Free healthcare","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,2,0,457,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",4,1,4,"Education opportunities","Canada","1","13.403"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,459,"Female","18 - 29","No","Some college but no degree","0",5,3,3,"Employment / career opportunities","UK","1","35.573"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,2,0,465,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,4,4,"Education opportunities","UK","1","18.27"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",1,2,1,469,"Female","30-39","Yes","Master's degree or higher","0",6,1,6,"Social benefits and healthcare","UK","1","20.666"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,2,0,470,"Male","18 - 29","No","Bachelor's degree (4-year)","1",7,1,6,"Citizenship and rights","UK","1","35.096"
"Family","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,473,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,2,"Employment / career opportunities","Canada","1","60.471"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,0,475,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",4,1,3,"Employment / career opportunities","Canada","1","76.343"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,0,476,"Male","18 - 29","No","Some college but no degree","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","62.553"
"Friends","Free housing","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,0,478,"Male","18 - 29","No","Some college but no degree","0",4,1,2,"Citizenship and rights","UK","1","14.873"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,1,480,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,3,5,"Education opportunities","Canada","1","6.637"
"Family","Free housing","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,0,481,"Female","40-49","Yes","Some college but no degree","0",8,1,5,"Citizenship and rights","UK","1","89.167"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",1,2,0,483,"Male","18 - 29","No","Bachelor's degree (4-year)","0",6,3,4,"Education opportunities","France","1","66.37"
"Other Syrians","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,484,"Male","30-39","No","Some college but no degree","0",5,1,3,"Education opportunities","Canada","1","50.614"
"Family","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,0,485,"Male","18 - 29","No","Master's degree or higher","0",4,1,6,"Education opportunities","USA","1","33.198"
"No contacts","No minimum wage","No religious bans","After 5 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",0,2,0,486,"Female","40-49","No","Bachelor's degree (4-year)","0",5,2,3,"Language and culture","Other / Prefer not to answer","1","189.891"
"Friends","Generous support for refugees","No religious bans","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",0,2,0,490,"Male","18 - 29","No","Bachelor's degree (4-year)","1",5,3,NA,"Citizenship and rights","Other / Prefer not to answer","1","99.712"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,1,491,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",8,3,6,"Education opportunities","UK","1","49.776"
"Friends","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,493,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",8,1,3,"Education opportunities","UK","1","30.029"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,2,0,500,"Female","18 - 29","No","Some college but no degree","0",7,1,6,"Citizenship and rights","UK","1","57.694"
"Friends","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,0,502,"Female","18 - 29","No","Some college but no degree","0",5,1,NA,"Employment / career opportunities","Canada","1","44.339"
"No contacts","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,2,0,503,"Female","18 - 29","No","Some college but no degree","0",8,3,3,"Education opportunities","France","1","31.321"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,506,"Female","18 - 29","No","Some college but no degree","0",6,1,5,"Employment / career opportunities","Canada","1","83.875"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,2,0,507,"Male","18 - 29","No","Less than high school degree","0",7,1,3,"Education opportunities","UK","1","44.879"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,2,0,509,"Female","18 - 29","No","Some college but no degree","0",4,1,5,"Education opportunities","UK","1","15.525"
"Friends","Free healthcare","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",1,2,0,511,"Male","18 - 29","No","Some college but no degree","0",NA,1,2,"Education opportunities","Canada","1","160.707"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",0,2,0,512,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","13.473"
"No contacts","Free housing","Ban on hijab in schools","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,2,1,515,"Female","18 - 29","No","Some college but no degree","0",5,3,4,"Education opportunities","Germany","1","24.728"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",0,2,1,517,"Female","30-39","No","Diploma or technical certificate (2-year)","0",4,1,2,"Asylum policies (e.g. family reunification, resettlement)","Germany","1","50.318"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",0,2,0,519,"Male","18 - 29","No","Less than high school degree","0",4,1,5,"Citizenship and rights","Germany","1","21.761"
"Family","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,0,520,"Female","18 - 29","No","Some college but no degree","0",8,4,4,"Employment / career opportunities","Germany","1","14.915"
"No contacts","Generous support for refugees","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",1,2,0,521,"Male","18 - 29","No","Master's degree or higher","0",2,1,3,"Citizenship and rights","Germany","1","158.925"
"Family","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,2,0,522,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Citizenship and rights","UK","1","85.006"
"Family","Free housing","Ban on nikab and burka in public","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,0,523,"Male","30-39","No","Bachelor's degree (4-year)","1",5,1,4,"Citizenship and rights","UK","1","52.236"
"Friends","Free healthcare","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,526,"Male","18 - 29","Yes","Some college but no degree","0",4,1,3,"Citizenship and rights","Canada","1","162.422"
"No contacts","Free housing","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,1,527,"Female","18 - 29","No","Some college but no degree","0",2,1,5,"Education opportunities","UK","1","34.793"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,2,0,529,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,5,"Education opportunities","USA","1","36.352"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,530,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","43.031"
"Family","Free healthcare","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,531,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Education opportunities","Other / Prefer not to answer","1","45.503"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,2,1,532,"Female","18 - 29","No","Some college but no degree","0",8,4,5,"Social benefits and healthcare","UK","1","47.89"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","France",1,2,0,533,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,3,"Good reputation","Canada","1","31.877"
"Friends","Free healthcare","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,534,"Male","18 - 29","No","Some college but no degree","0",6,3,5,"Employment / career opportunities","USA","1","29.383"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,2,1,535,"Male","30-39","Yes","Some college but no degree","0",8,1,3,"Education opportunities","Canada","1","35.633"
"Other Syrians","Free housing","No religious bans","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,538,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,2,"Education opportunities","USA","1","70.758"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,541,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","1",8,1,NA,"Citizenship and rights","Canada","1","102.342"
"Family","Free healthcare","No religious bans","After 5 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",1,2,0,545,"Male","18 - 29","Yes","Less than high school degree","1",8,1,6,"Education opportunities","Canada","1","24.295"
"Family","Free healthcare","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",1,2,1,546,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,1,2,"Education opportunities","Canada","1","150.895"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Germany",1,2,1,551,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,4,6,"Citizenship and rights","Canada","1","103.393"
"Other Syrians","Free healthcare","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,2,0,552,"Male","18 - 29","No","Some college but no degree","0",4,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","46.604"
"Friends","Free healthcare","Ban on nikab and burka in public","After 8 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,2,0,553,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",2,3,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","30.407"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,2,0,554,"Female","30-39","No","Some college but no degree","0",7,3,3,"Education opportunities","Canada","1","41.475"
"Other Syrians","Free housing","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,2,0,555,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,5,"Citizenship and rights","UK","1","31.336"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,556,"Female","40-49","Yes","Bachelor's degree (4-year)","0",4,1,5,"Education opportunities","UK","1","89.581"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,2,1,558,"Female","30-39","Yes","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","UK","1","25.53"
"Friends","No minimum wage","Ban on hijab in schools","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,0,561,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,5,"Education opportunities","USA","1","140.758"
"No contacts","No minimum wage","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,0,563,"Female","18 - 29","No","Some college but no degree","0",7,1,4,"Education opportunities","UK","1","122.032"
"Family","Free housing","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,564,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,3,"Citizenship and rights","Canada","1","90.19"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",0,2,0,567,"Female","18 - 29","No","Some college but no degree","1",8,4,3,"Citizenship and rights","Canada","1","188.218"
"Other Syrians","No minimum wage","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,2,0,571,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,1,NA,"Education opportunities","Canada","1","225.515"
"Family","Free housing","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,572,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","159.276"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,2,0,573,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,1,5,"Citizenship and rights","Canada","1","60.604"
"Friends","Generous support for refugees","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",1,2,1,580,"Male","18 - 29","No","Less than high school degree","0",2,1,3,"Citizenship and rights","USA","1","25.69"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,2,1,585,"Male","18 - 29","Yes","Some college but no degree","0",5,1,2,"Citizenship and rights","USA","1","36.082"
"Family","Free housing","Ban on immigration from Muslim countries","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,588,"Male","30-39","Yes","Some college but no degree","0",4,3,5,"Education opportunities","Germany","1","35.199"
"Friends","Generous support for refugees","No religious bans","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,2,0,590,"Male","40-49","Yes","Diploma or technical certificate (2-year)","0",8,4,5,"Citizenship and rights","Other / Prefer not to answer","1","21.011"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,592,"Female","18 - 29","Yes","Some college but no degree","0",5,2,3,"Citizenship and rights","UK","1","12.809"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,2,0,595,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,1,6,"Citizenship and rights","Canada","1","24.92"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,2,0,596,"Female","18 - 29","No","Some college but no degree","0",5,3,3,"Employment / career opportunities","Canada","1","108.51"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,1,597,"Male","18 - 29","No","Some college but no degree","0",6,1,5,"Citizenship and rights","UK","1","70.533"
"No contacts","Free housing","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",1,2,0,600,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,4,"Employment / career opportunities","Canada","1","35.209"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",0,2,0,603,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,4,5,"Education opportunities","Canada","1","33.259"
"Friends","Generous support for refugees","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,2,0,605,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,3,5,"Citizenship and rights","Germany","1","33.569"
"No contacts","Free housing","Ban on hijab in schools","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",0,2,0,608,"Male","50-59","Yes","Bachelor's degree (4-year)","0",4,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","5.82"
"Family","Free housing","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,1,614,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,3,"Citizenship and rights","UK","1","15.416"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,2,0,616,"Male","30-39","No","High school graduate (Baccalaureate / Tawjihi)","1",8,1,5,"Citizenship and rights","Germany","1","104.629"
"No contacts","Free healthcare","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,2,1,619,"Male","30-39","Yes","Some college but no degree","1",6,1,2,"Good reputation","Canada","1","29.821"
"Family","Generous support for refugees","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,0,620,"Male","30-39","Yes","Bachelor's degree (4-year)","0",5,2,NA,"Education opportunities","UK","1","8.087"
"Family","Free healthcare","Ban on hijab in schools","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","France",0,2,0,621,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,1,3,"Citizenship and rights","Canada","1","172.418"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,623,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,2,"Citizenship and rights","Other / Prefer not to answer","1","51.019"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,0,626,"Female","18 - 29","No","Bachelor's degree (4-year)","1",8,1,5,"Citizenship and rights","Canada","1","58.638"
"Other Syrians","No minimum wage","No religious bans","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",1,2,0,630,"Male","30-39","Yes","Less than high school degree","0",8,1,NA,"Citizenship and rights","Canada","1","31.386"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,631,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,6,"Employment / career opportunities","UK","1","70.516"
"Other Syrians","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",0,2,0,634,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",5,1,5,"Employment / career opportunities","Canada","1","3.693"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,2,0,637,"Male","18 - 29","Prefer not to answer","Bachelor's degree (4-year)","0",6,1,2,"Education opportunities","UK","1","32.576"
"No contacts","Free housing","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,2,0,640,"Female","18 - 29","No","Some college but no degree","0",2,1,3,"Education opportunities","Canada","1","8.338"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,2,1,641,"Male","40-49","No","Some college but no degree","0",2,1,2,"Citizenship and rights","USA","1","81.233"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,642,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","Canada","1","96.366"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,2,0,643,"Female","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,NA,"Citizenship and rights","Canada","1","18.118"
